fold,split,frames,videos,auto,combi,microbus,minibus,omnibus,articulado,camion,mototaxi,motocicleta
0,train,43413,871,385561,8304,2278,14888,1788,200,26309,4513,38917
0,val,10849,217,96170,1848,524,4053,495,50,6359,1026,8651
1,train,43441,871,388662,7994,2273,14948,1822,200,26108,4364,37553
1,val,10821,217,93069,2158,529,3993,461,50,6560,1175,10015
2,train,43416,871,389510,8312,2181,15837,1920,200,26928,4482,38879
2,val,10846,217,92221,1840,621,3104,363,50,5740,1057,8689
3,train,43390,870,381179,8207,2233,15226,1719,200,25851,4508,37089
3,val,10872,218,100552,1945,569,3715,564,50,6817,1031,10479
4,train,43388,869,382012,7791,2243,14865,1883,200,25476,4289,37834
4,val,10874,219,99719,2361,559,4076,400,50,7192,1250,9734
